triplestore;policy;dataset;run;ingestion_time;raw_file_size_MiB;db_files_disk_usage_MiB
jenatdb2;tb_sr_re;bearb_day;1;8.806;40;233
jenatdb2;tb_sr_re;bearb_hour;1;15.751;83;290
jenatdb2;tb_sr_re;bearc;1;709.304;4886;7136
jenatdb2;tb_sr_re;orkg;1;315.773;1986;3046
graphdb;tb_sr_re;bearb_day;1;17.421;40;176
graphdb;tb_sr_re;bearb_hour;1;15.563;83;216
graphdb;tb_sr_re;bearc;1;245.584;4886;3944
graphdb;tb_sr_re;orkg;1;126.954;1986;2312
graphdb;ic_sr_ng;bearb_day;1;57.836;557;342
graphdb;ic_sr_ng;bearb_day;1;38.974;557;342
graphdb;ic_sr_ng;bearb_day;2;41.049;557;342
graphdb;ic_sr_ng;bearb_day;2;34.816;557;342
graphdb;ic_sr_ng;bearb_day;3;38.126;557;342
graphdb;ic_sr_ng;bearb_day;3;35.084;557;342
graphdb;ic_sr_ng;bearb_day;4;35.512;557;342
graphdb;ic_sr_ng;bearb_day;4;34.879;557;342
graphdb;ic_sr_ng;bearb_day;5;53.549;557;342
graphdb;ic_sr_ng;bearb_day;5;36.007;557;342
graphdb;ic_sr_ng;bearb_day;6;46.451;557;342
graphdb;ic_sr_ng;bearb_day;6;37.339;557;342
graphdb;ic_sr_ng;bearb_day;7;48.413;557;342
graphdb;ic_sr_ng;bearb_day;7;36.151;557;342
graphdb;ic_sr_ng;bearb_day;8;49.313;557;342
graphdb;ic_sr_ng;bearb_day;8;36.593;557;342
graphdb;ic_sr_ng;bearb_day;9;45.794;557;342
graphdb;ic_sr_ng;bearb_day;9;35.642;557;342
graphdb;ic_sr_ng;bearb_day;10;46.076;557;342
graphdb;ic_sr_ng;bearb_day;10;34.266;557;342
graphdb;ic_sr_ng;bearb_hour;1;460.321;8313;3198
graphdb;ic_sr_ng;bearb_hour;1;437.435;8313;3198
graphdb;ic_sr_ng;bearb_hour;2;426.966;8313;3198
graphdb;ic_sr_ng;bearb_hour;2;394.176;8313;3198
graphdb;ic_sr_ng;bearb_hour;3;381.646;8313;3198
graphdb;ic_sr_ng;bearb_hour;3;420.168;8313;3198
graphdb;ic_sr_ng;bearb_hour;4;351.258;8313;3198
graphdb;ic_sr_ng;bearb_hour;4;348.085;8313;3198
graphdb;ic_sr_ng;bearb_hour;5;366.711;8313;3198
graphdb;ic_sr_ng;bearb_hour;5;376.153;8313;3198
graphdb;ic_sr_ng;bearb_hour;6;342.375;8313;3198
graphdb;ic_sr_ng;bearb_hour;6;336.993;8313;3198
graphdb;ic_sr_ng;bearb_hour;7;345.308;8313;3198
graphdb;ic_sr_ng;bearb_hour;7;324.424;8313;3198
graphdb;ic_sr_ng;bearb_hour;8;385.724;8313;3198
graphdb;ic_sr_ng;bearb_hour;8;345.944;8313;3198
graphdb;ic_sr_ng;bearb_hour;9;393.699;8313;3198
graphdb;ic_sr_ng;bearb_hour;9;336.243;8313;3198
graphdb;ic_sr_ng;bearb_hour;10;364.126;8313;3198
graphdb;ic_sr_ng;bearb_hour;10;343.369;8313;3198
graphdb;ic_sr_ng;bearc;1;127.527;3640;1655
graphdb;ic_sr_ng;bearc;1;123.164;3640;1655
graphdb;ic_sr_ng;bearc;2;106.1;3640;1655
graphdb;ic_sr_ng;bearc;2;117.657;3640;1655
graphdb;ic_sr_ng;bearc;3;110.339;3640;1655
graphdb;ic_sr_ng;bearc;3;118.323;3640;1655
graphdb;ic_sr_ng;bearc;4;122.405;3640;1655
graphdb;ic_sr_ng;bearc;4;120.075;3640;1655
graphdb;ic_sr_ng;bearc;5;119.237;3640;1655
graphdb;ic_sr_ng;bearc;5;109.042;3640;1655
graphdb;ic_sr_ng;bearc;6;108.155;3640;1655
graphdb;ic_sr_ng;bearc;6;108.524;3640;1655
graphdb;ic_sr_ng;bearc;7;115.1;3640;1655
graphdb;ic_sr_ng;bearc;7;115.567;3640;1655
graphdb;ic_sr_ng;bearc;8;116.832;3640;1655
graphdb;ic_sr_ng;bearc;8;112.837;3640;1655
graphdb;ic_sr_ng;bearc;9;105.51;3640;1655
graphdb;ic_sr_ng;bearc;9;108.93;3640;1655
graphdb;ic_sr_ng;bearc;10;118.033;3640;1655
graphdb;ic_sr_ng;bearc;10;109.616;3640;1655
graphdb;ic_sr_ng;orkg;1;1007.532;19091;8999
graphdb;ic_sr_ng;orkg;1;886.533;19091;8999
graphdb;ic_sr_ng;orkg;2;933.365;19091;8999
graphdb;ic_sr_ng;orkg;2;916.832;19091;8999
graphdb;ic_sr_ng;orkg;3;1004.529;19091;8999
graphdb;ic_sr_ng;orkg;3;940.926;19091;8999
graphdb;ic_sr_ng;orkg;4;917.949;19091;8999
graphdb;ic_sr_ng;orkg;4;842.066;19091;8999
graphdb;ic_sr_ng;orkg;5;973.274;19091;8999
graphdb;ic_sr_ng;orkg;5;834.641;19091;8999
graphdb;ic_sr_ng;orkg;6;944.19;19091;8999
graphdb;ic_sr_ng;orkg;6;864.992;19091;8999
graphdb;ic_sr_ng;orkg;7;838.79;19091;8999
graphdb;ic_sr_ng;orkg;8;804.335;19091;8999
graphdb;ic_sr_ng;orkg;9;853.309;19091;8999
