triplestore;policy;dataset;run;ingestion_time;raw_file_size_MiB;db_files_disk_usage_MiB
graphdb;ic_sr_ng;bearb_day;1;59.09;557;342
graphdb;ic_sr_ng;bearb_day;2;49.661;557;342
graphdb;ic_sr_ng;bearb_day;3;50.257;557;342
graphdb;ic_sr_ng;bearb_day;4;47.833;557;342
graphdb;ic_sr_ng;bearb_day;5;50.693;557;342
graphdb;ic_sr_ng;bearb_day;6;49.87;557;342
graphdb;ic_sr_ng;bearb_day;7;49.526;557;342
graphdb;ic_sr_ng;bearb_day;8;48.709;557;342
graphdb;ic_sr_ng;bearb_day;9;47.032;557;342
graphdb;ic_sr_ng;bearb_day;10;43.789;557;342
graphdb;tb_sr_rs;bearb_day;1;15.802;32;171
graphdb;tb_sr_rs;bearb_day;2;15.636;32;171
graphdb;tb_sr_rs;bearb_day;3;15.803;32;171
graphdb;tb_sr_rs;bearb_day;4;15.749;32;171
graphdb;tb_sr_rs;bearb_day;5;15.698;32;171
graphdb;tb_sr_rs;bearb_day;6;16.274;32;171
graphdb;tb_sr_rs;bearb_day;7;16.567;32;171
graphdb;tb_sr_rs;bearb_day;8;16.191;32;171
graphdb;tb_sr_rs;bearb_day;9;15.146;32;171
graphdb;tb_sr_rs;bearb_day;10;16.237;32;171
graphdb;ic_sr_ng;bearb_hour;1;413.805;8313;3198
graphdb;ic_sr_ng;bearb_hour;2;387.606;8313;3198
graphdb;ic_sr_ng;bearb_hour;3;375.632;8313;3198
graphdb;ic_sr_ng;bearb_hour;4;370.066;8313;3198
graphdb;ic_sr_ng;bearb_hour;5;383.366;8313;3198
graphdb;ic_sr_ng;bearb_hour;6;366.557;8313;3198
graphdb;ic_sr_ng;bearb_hour;7;378.642;8313;3198
graphdb;ic_sr_ng;bearb_hour;8;413.051;8313;3198
graphdb;ic_sr_ng;bearb_hour;9;389.834;8313;3198
graphdb;ic_sr_ng;bearb_hour;10;380.044;8313;3198
graphdb;tb_sr_rs;bearb_hour;1;18.575;65;204
graphdb;tb_sr_rs;bearb_hour;2;19.165;65;204
graphdb;tb_sr_rs;bearb_hour;3;18.981;65;204
graphdb;tb_sr_rs;bearb_hour;4;18.839;65;204
graphdb;tb_sr_rs;bearb_hour;5;18.745;65;204
graphdb;tb_sr_rs;bearb_hour;6;18.514;65;204
graphdb;tb_sr_rs;bearb_hour;7;19.079;65;204
graphdb;tb_sr_rs;bearb_hour;8;18.896;65;204
graphdb;tb_sr_rs;bearb_hour;9;19.407;65;204
graphdb;tb_sr_rs;bearb_hour;10;19.053;65;204
graphdb;ic_sr_ng;bearc;1;168.129;3640;1655
graphdb;ic_sr_ng;bearc;2;136.205;3640;1655
graphdb;ic_sr_ng;bearc;3;146.99;3640;1655
graphdb;ic_sr_ng;bearc;4;129.101;3640;1655
graphdb;ic_sr_ng;bearc;5;143.336;3640;1655
graphdb;ic_sr_ng;bearc;6;149.901;3640;1655
graphdb;ic_sr_ng;bearc;7;146.138;3640;1655
graphdb;ic_sr_ng;bearc;8;128.356;3640;1655
graphdb;ic_sr_ng;bearc;9;131.143;3640;1655
graphdb;ic_sr_ng;bearc;10;136.632;3640;1655
graphdb;tb_sr_rs;bearc;1;210.966;4058;3330
graphdb;tb_sr_rs;bearc;2;218.104;4058;3330
graphdb;tb_sr_rs;bearc;3;245.047;4058;3330
graphdb;tb_sr_rs;bearc;4;220.78;4058;3330
graphdb;tb_sr_rs;bearc;5;216.841;4058;3330
graphdb;tb_sr_rs;bearc;6;207.716;4058;3330
graphdb;tb_sr_rs;bearc;7;210.282;4058;3330
graphdb;tb_sr_rs;bearc;8;216.276;4058;3330
graphdb;tb_sr_rs;bearc;9;202.644;4058;3330
graphdb;tb_sr_rs;bearc;10;215.867;4058;3330
graphdb;ic_sr_ng;orkg;1;1118.416;19091;8999
graphdb;ic_sr_ng;orkg;2;1139.84;19091;8999
graphdb;ic_sr_ng;orkg;3;998.512;19091;8999
graphdb;ic_sr_ng;orkg;4;1000.745;19091;8999
graphdb;ic_sr_ng;orkg;5;1006.59;19091;8999
graphdb;ic_sr_ng;orkg;6;930.38;19091;8999
graphdb;ic_sr_ng;orkg;7;947.973;19091;8999
graphdb;ic_sr_ng;orkg;8;1001.898;19091;8999
graphdb;ic_sr_ng;orkg;9;940.017;19091;8999
graphdb;ic_sr_ng;orkg;10;898.937;19091;8999
graphdb;tb_sr_rs;orkg;1;139.033;1897;2017
graphdb;tb_sr_rs;orkg;2;124.662;1897;2017
graphdb;tb_sr_rs;orkg;3;125.839;1897;2017
graphdb;tb_sr_rs;orkg;4;130.663;1897;2017
graphdb;tb_sr_rs;orkg;5;126.005;1897;2017
graphdb;tb_sr_rs;orkg;6;126.711;1897;2017
graphdb;tb_sr_rs;orkg;7;127.209;1897;2017
graphdb;tb_sr_rs;orkg;8;124.802;1897;2017
graphdb;tb_sr_rs;orkg;9;129.896;1897;2017
graphdb;tb_sr_rs;orkg;10;131.292;1897;2017
ostrich;ostrich;bearb_day;1;228.534;21;19
ostrich;ostrich;bearb_day;2;225.345;21;19
ostrich;ostrich;bearb_day;3;223.301;21;19
ostrich;ostrich;bearb_day;4;222.862;21;19
ostrich;ostrich;bearb_day;5;330.152;21;19
ostrich;ostrich;bearb_day;6;275.246;21;19
ostrich;ostrich;bearb_day;7;280.573;21;19
ostrich;ostrich;bearb_day;8;302.279;21;19
ostrich;ostrich;bearb_day;9;284.42;21;19
ostrich;ostrich;bearb_day;10;276.863;21;19
ostrich;ostrich;bearb_hour;1;7539.623;51;68
ostrich;ostrich;bearb_hour;2;7403.834;51;68
ostrich;ostrich;bearb_hour;3;8085.014;51;68
ostrich;ostrich;bearb_hour;4;7614.782;51;68
ostrich;ostrich;bearb_hour;5;7550.238;51;68
ostrich;ostrich;bearb_hour;6;7449.106;51;68
ostrich;ostrich;bearb_hour;7;7734.125;51;68
ostrich;ostrich;bearb_hour;8;7730.054;51;68
ostrich;ostrich;bearb_hour;9;8756.484;51;68
ostrich;ostrich;bearb_hour;10;7680.309;51;68
ostrich;ostrich;bearc;1;25343.134;3913;625
ostrich;ostrich;bearc;2;25006.976;3913;625
