triplestore;policy;dataset;run;ingestion_time;raw_file_size_MiB;db_files_disk_usage_MiB
graphdb;ic_sr_ng;bearb_day;1;46.71;556;330
graphdb;ic_sr_ng;bearb_day;2;46.69;556;330
graphdb;ic_sr_ng;bearb_day;3;45.75;556;330
graphdb;ic_sr_ng;bearb_day;4;46.63;556;330
graphdb;ic_sr_ng;bearb_day;5;47.10;556;330
graphdb;ic_sr_ng;bearb_day;6;45.65;556;330
graphdb;ic_sr_ng;bearb_day;7;48.01;556;330
graphdb;ic_sr_ng;bearb_day;8;45.60;556;330
graphdb;ic_sr_ng;bearb_day;9;46.12;556;330
graphdb;ic_sr_ng;bearb_day;10;46.59;556;330
graphdb;ic_sr_ng;bearb_hour;1;410.54;8312;3186
graphdb;ic_sr_ng;bearb_hour;2;418.53;8312;3186
graphdb;ic_sr_ng;bearb_hour;3;413.58;8312;3186
graphdb;ic_sr_ng;bearb_hour;4;408.34;8312;3186
graphdb;ic_sr_ng;bearb_hour;5;414.09;8312;3186
graphdb;ic_sr_ng;bearb_hour;6;456.75;8312;3186
graphdb;ic_sr_ng;bearb_hour;7;401.37;8312;3186
graphdb;ic_sr_ng;bearb_hour;8;407.63;8312;3186
graphdb;ic_sr_ng;bearb_hour;9;410.69;8312;3186
graphdb;ic_sr_ng;bearb_hour;10;394.70;8312;3186
graphdb;ic_sr_ng;bearc;1;207.45;3639;1643
graphdb;ic_sr_ng;bearc;2;177.44;3639;1643
graphdb;ic_sr_ng;bearc;3;172.92;3639;1643
graphdb;ic_sr_ng;bearc;4;171.98;3639;1643
graphdb;ic_sr_ng;bearc;5;173.39;3639;1643
graphdb;ic_sr_ng;bearc;6;176.29;3639;1643
graphdb;ic_sr_ng;bearc;7;179.87;3639;1643
graphdb;ic_sr_ng;bearc;8;168.29;3639;1643
graphdb;ic_sr_ng;bearc;9;176.65;3639;1643
graphdb;ic_sr_ng;bearc;10;163.28;3639;1643
graphdb;cb_sr_ng;bearb_day;1;14.75;20;143
graphdb;cb_sr_ng;bearb_day;2;14.31;20;143
graphdb;cb_sr_ng;bearb_day;3;14.02;20;143
graphdb;cb_sr_ng;bearb_day;4;14.38;20;143
graphdb;cb_sr_ng;bearb_day;5;14.30;20;143
graphdb;cb_sr_ng;bearb_day;6;14.09;20;143
graphdb;cb_sr_ng;bearb_day;7;14.06;20;143
graphdb;cb_sr_ng;bearb_day;8;15.07;20;143
graphdb;cb_sr_ng;bearb_day;9;14.06;20;143
graphdb;cb_sr_ng;bearb_day;10;14.17;20;143
graphdb;cb_sr_ng;bearb_hour;1;18.59;50;164
graphdb;cb_sr_ng;bearb_hour;2;17.67;50;164
graphdb;cb_sr_ng;bearb_hour;3;18.18;50;164
graphdb;cb_sr_ng;bearb_hour;4;17.78;50;164
graphdb;cb_sr_ng;bearb_hour;5;17.70;50;164
graphdb;cb_sr_ng;bearb_hour;6;16.95;50;164
graphdb;cb_sr_ng;bearb_hour;7;17.28;50;164
graphdb;cb_sr_ng;bearb_hour;8;17.30;50;164
graphdb;cb_sr_ng;bearb_hour;9;18.74;50;164
graphdb;cb_sr_ng;bearb_hour;10;17.22;50;164
graphdb;cb_sr_ng;bearc;1;231.72;3912;1677
graphdb;cb_sr_ng;bearc;2;194.05;3912;1677
graphdb;cb_sr_ng;bearc;3;189.47;3912;1677
graphdb;cb_sr_ng;bearc;4;196.09;3912;1677
graphdb;cb_sr_ng;bearc;5;190.96;3912;1677
graphdb;cb_sr_ng;bearc;6;183.16;3912;1677
graphdb;cb_sr_ng;bearc;7;180.30;3912;1677
graphdb;cb_sr_ng;bearc;8;193.03;3912;1677
graphdb;cb_sr_ng;bearc;9;186.24;3912;1677
graphdb;cb_sr_ng;bearc;10;192.76;3912;1677
graphdb;tb_sr_ng;bearb_day;1;14.20;33;142
graphdb;tb_sr_ng;bearb_day;2;13.75;33;142
graphdb;tb_sr_ng;bearb_day;3;14.30;33;142
graphdb;tb_sr_ng;bearb_day;4;13.99;33;142
graphdb;tb_sr_ng;bearb_day;5;14.07;33;142
graphdb;tb_sr_ng;bearb_day;6;13.94;33;142
graphdb;tb_sr_ng;bearb_day;7;14.95;33;142
graphdb;tb_sr_ng;bearb_day;8;15.05;33;142
graphdb;tb_sr_ng;bearb_day;9;14.01;33;142
graphdb;tb_sr_ng;bearb_day;10;13.87;33;142
graphdb;tb_sr_ng;bearb_hour;1;266.88;9184;1323
graphdb;tb_sr_ng;bearb_hour;2;195.41;9184;1323
graphdb;tb_sr_ng;bearb_hour;3;154.22;9184;1323
graphdb;tb_sr_ng;bearb_hour;4;165.26;9184;1323
graphdb;tb_sr_ng;bearb_hour;5;196.73;9184;1323
graphdb;tb_sr_ng;bearb_hour;6;157.29;9184;1323
graphdb;tb_sr_ng;bearb_hour;7;204.79;9184;1323
graphdb;tb_sr_ng;bearb_hour;8;162.50;9184;1323
graphdb;tb_sr_ng;bearb_hour;9;158.00;9184;1323
graphdb;tb_sr_ng;bearb_hour;10;157.15;9184;1323
graphdb;tb_sr_ng;bearc;1;139.63;2256;1151
graphdb;tb_sr_ng;bearc;2;110.05;2256;1151
graphdb;tb_sr_ng;bearc;3;119.36;2256;1151
graphdb;tb_sr_ng;bearc;4;110.50;2256;1151
graphdb;tb_sr_ng;bearc;5;120.10;2256;1151
