triplestore;dataset;batch;cnt_batch_trpls;chunk_size;execution_time
TripleStore.GRAPHDB;bearc;snapshot_0;485178;6000;291.9673614501953
TripleStore.GRAPHDB;bearc;positive_change_set_1;273716;6000;142.29480838775635
TripleStore.GRAPHDB;bearc;negative_change_set_1;273294;6000;146.6879677772522
TripleStore.GRAPHDB;bearc;positive_change_set_2;279461;6000;148.5206995010376
TripleStore.GRAPHDB;bearc;negative_change_set_2;277422;6000;141.64992022514343
TripleStore.GRAPHDB;bearc;positive_change_set_3;299053;6000;156.29992938041687
TripleStore.GRAPHDB;bearc;negative_change_set_3;295548;6000;148.22975373268127
TripleStore.GRAPHDB;bearc;positive_change_set_4;277024;6000;140.77052283287048
TripleStore.GRAPHDB;bearc;negative_change_set_4;274320;6000;137.73016262054443
TripleStore.GRAPHDB;bearc;positive_change_set_5;277693;6000;140.87943124771118
TripleStore.GRAPHDB;bearc;negative_change_set_5;276654;6000;136.92688822746277
TripleStore.GRAPHDB;bearc;positive_change_set_6;282886;6000;145.53806233406067
TripleStore.GRAPHDB;bearc;negative_change_set_6;277790;6000;136.57227611541748
TripleStore.GRAPHDB;bearc;positive_change_set_7;337902;6000;185.58987736701965
TripleStore.GRAPHDB;bearc;negative_change_set_7;306592;6000;154.60118436813354
TripleStore.GRAPHDB;bearc;positive_change_set_8;293905;6000;159.48485255241394
TripleStore.GRAPHDB;bearc;negative_change_set_8;293479;6000;148.90110969543457
TripleStore.GRAPHDB;bearc;positive_change_set_9;335350;6000;177.68719625473022
TripleStore.GRAPHDB;bearc;negative_change_set_9;333095;6000;166.9209156036377
TripleStore.GRAPHDB;bearc;positive_change_set_10;335738;6000;184.82393193244934
TripleStore.GRAPHDB;bearc;negative_change_set_10;334905;6000;187.20510411262512
TripleStore.GRAPHDB;bearc;positive_change_set_11;338753;6000;182.9109811782837
TripleStore.GRAPHDB;bearc;negative_change_set_11;335954;6000;164.39551162719727
TripleStore.GRAPHDB;bearc;positive_change_set_12;126098;6000;70.13068842887878
TripleStore.GRAPHDB;bearc;negative_change_set_12;125657;6000;78.97532415390015
TripleStore.GRAPHDB;bearc;positive_change_set_13;339237;6000;183.30976581573486
TripleStore.GRAPHDB;bearc;negative_change_set_13;338634;6000;171.30114269256592
TripleStore.GRAPHDB;bearc;positive_change_set_14;338935;6000;183.0416760444641
TripleStore.GRAPHDB;bearc;negative_change_set_14;338603;6000;165.29136776924133
TripleStore.GRAPHDB;bearc;positive_change_set_15;340397;6000;191.31958627700806
TripleStore.GRAPHDB;bearc;negative_change_set_15;336309;6000;165.4451789855957
TripleStore.GRAPHDB;bearc;positive_change_set_16;334232;6000;179.8741147518158
TripleStore.GRAPHDB;bearc;negative_change_set_16;334829;6000;167.46689653396606
TripleStore.GRAPHDB;bearc;positive_change_set_17;335428;6000;182.04438734054565
TripleStore.GRAPHDB;bearc;negative_change_set_17;334012;6000;165.7421908378601
TripleStore.GRAPHDB;bearc;positive_change_set_18;335573;6000;192.2748475074768
TripleStore.GRAPHDB;bearc;negative_change_set_18;335238;6000;167.12555480003357
TripleStore.GRAPHDB;bearc;positive_change_set_19;331202;6000;182.00310134887695
TripleStore.GRAPHDB;bearc;negative_change_set_19;330369;6000;163.8336124420166
TripleStore.GRAPHDB;bearc;positive_change_set_20;339424;6000;185.7554967403412
TripleStore.GRAPHDB;bearc;negative_change_set_20;337199;6000;172.09647393226624
TripleStore.GRAPHDB;bearc;positive_change_set_21;336305;6000;188.7514889240265
TripleStore.GRAPHDB;bearc;negative_change_set_21;335885;6000;171.41046738624573
TripleStore.GRAPHDB;bearc;positive_change_set_22;337146;6000;198.86479830741882
TripleStore.GRAPHDB;bearc;negative_change_set_22;336103;6000;179.78097534179688
TripleStore.GRAPHDB;bearc;positive_change_set_23;338516;6000;198.57013964653015
TripleStore.GRAPHDB;bearc;negative_change_set_23;336525;6000;181.09392929077148
TripleStore.GRAPHDB;bearc;positive_change_set_24;332618;6000;185.77219796180725
TripleStore.GRAPHDB;bearc;negative_change_set_24;330615;6000;170.27661776542664
TripleStore.GRAPHDB;bearc;positive_change_set_25;313803;6000;177.2574667930603
TripleStore.GRAPHDB;bearc;negative_change_set_25;296078;6000;163.97808170318604
TripleStore.GRAPHDB;bearc;positive_change_set_26;349291;6000;198.9165599346161
TripleStore.GRAPHDB;bearc;negative_change_set_26;363968;6000;187.09454989433289
TripleStore.GRAPHDB;bearc;positive_change_set_27;80372;6000;50.69099020957947
TripleStore.GRAPHDB;bearc;negative_change_set_27;80351;6000;61.9307005405426
TripleStore.GRAPHDB;bearc;positive_change_set_28;24653;6000;14.915553569793701
TripleStore.GRAPHDB;bearc;negative_change_set_28;18545;6000;19.218388557434082
TripleStore.GRAPHDB;bearc;positive_change_set_29;290911;6000;169.63370060920715
TripleStore.GRAPHDB;bearc;negative_change_set_29;290442;6000;153.79591369628906
TripleStore.GRAPHDB;bearc;positive_change_set_30;292379;6000;165.7373468875885
TripleStore.GRAPHDB;bearc;negative_change_set_30;291218;6000;153.29530382156372
TripleStore.GRAPHDB;bearc;positive_change_set_31;33958;6000;22.209341764450073
TripleStore.GRAPHDB;bearc;negative_change_set_31;33877;6000;34.599140644073486
TripleStore.GRAPHDB;bearc;positive_change_set_32;43904;6000;29.17081594467163
TripleStore.GRAPHDB;bearc;negative_change_set_32;43794;6000;43.78579616546631
TripleStore.GRAPHDB;bearc;snapshot_0;485178;7000;285.45832562446594
TripleStore.GRAPHDB;bearc;positive_change_set_1;273716;7000;139.636620759964
TripleStore.GRAPHDB;bearc;negative_change_set_1;273294;7000;141.64327216148376
TripleStore.GRAPHDB;bearc;positive_change_set_2;279461;7000;137.60756015777588
TripleStore.GRAPHDB;bearc;negative_change_set_2;277422;7000;137.69790816307068
TripleStore.GRAPHDB;bearc;positive_change_set_3;299053;7000;159.8980495929718
TripleStore.GRAPHDB;bearc;negative_change_set_3;295548;7000;144.63815259933472
TripleStore.GRAPHDB;bearc;positive_change_set_4;277024;7000;142.52315950393677
TripleStore.GRAPHDB;bearc;negative_change_set_4;274320;7000;137.54669547080994
TripleStore.GRAPHDB;bearc;positive_change_set_5;277693;7000;143.8739790916443
TripleStore.GRAPHDB;bearc;negative_change_set_5;276654;7000;136.1636245250702
TripleStore.GRAPHDB;bearc;positive_change_set_6;282886;7000;146.61228156089783
TripleStore.GRAPHDB;bearc;negative_change_set_6;277790;7000;136.430011510849
TripleStore.GRAPHDB;bearc;positive_change_set_7;337902;7000;179.5307092666626
TripleStore.GRAPHDB;bearc;negative_change_set_7;306592;7000;150.91139101982117
TripleStore.GRAPHDB;bearc;positive_change_set_8;293905;7000;156.15507626533508
TripleStore.GRAPHDB;bearc;negative_change_set_8;293479;7000;148.02245998382568
TripleStore.GRAPHDB;bearc;positive_change_set_9;335350;7000;173.92361879348755
TripleStore.GRAPHDB;bearc;negative_change_set_9;333095;7000;162.09082651138306
TripleStore.GRAPHDB;bearc;positive_change_set_10;335738;7000;177.40355014801025
TripleStore.GRAPHDB;bearc;negative_change_set_10;334905;7000;164.70124650001526
TripleStore.GRAPHDB;bearc;positive_change_set_11;338753;7000;180.71038246154785
TripleStore.GRAPHDB;bearc;negative_change_set_11;335954;7000;168.20114421844482
TripleStore.GRAPHDB;bearc;positive_change_set_12;126098;7000;68.5571072101593
TripleStore.GRAPHDB;bearc;negative_change_set_12;125657;7000;78.630202293396
TripleStore.GRAPHDB;bearc;positive_change_set_13;339237;7000;180.07801747322083
TripleStore.GRAPHDB;bearc;negative_change_set_13;338634;7000;170.54242825508118
TripleStore.GRAPHDB;bearc;positive_change_set_14;338935;7000;186.541485786438
TripleStore.GRAPHDB;bearc;negative_change_set_14;338603;7000;168.86843395233154
TripleStore.GRAPHDB;bearc;positive_change_set_15;340397;7000;179.31980323791504
TripleStore.GRAPHDB;bearc;negative_change_set_15;336309;7000;164.27148628234863
TripleStore.GRAPHDB;bearc;positive_change_set_16;334232;7000;189.53386521339417
TripleStore.GRAPHDB;bearc;negative_change_set_16;334829;7000;193.46278762817383
TripleStore.GRAPHDB;bearc;positive_change_set_17;335428;7000;180.1184594631195
TripleStore.GRAPHDB;bearc;negative_change_set_17;334012;7000;169.91677832603455
TripleStore.GRAPHDB;bearc;positive_change_set_18;335573;7000;180.8678641319275
TripleStore.GRAPHDB;bearc;negative_change_set_18;335238;7000;176.03979802131653
TripleStore.GRAPHDB;bearc;positive_change_set_19;331202;7000;194.14489364624023
TripleStore.GRAPHDB;bearc;negative_change_set_19;330369;7000;183.69841313362122
TripleStore.GRAPHDB;bearc;positive_change_set_20;339424;7000;184.62740874290466
TripleStore.GRAPHDB;bearc;negative_change_set_20;337199;7000;179.79939699172974
TripleStore.GRAPHDB;bearc;positive_change_set_21;336305;7000;190.8371548652649
TripleStore.GRAPHDB;bearc;negative_change_set_21;335885;7000;174.41168665885925
TripleStore.GRAPHDB;bearc;positive_change_set_22;337146;7000;191.0696096420288
TripleStore.GRAPHDB;bearc;negative_change_set_22;336103;7000;173.40481853485107
TripleStore.GRAPHDB;bearc;positive_change_set_23;338516;7000;184.8178460597992
TripleStore.GRAPHDB;bearc;negative_change_set_23;336525;7000;175.74194025993347
TripleStore.GRAPHDB;bearc;positive_change_set_24;332618;7000;183.14966750144958
TripleStore.GRAPHDB;bearc;negative_change_set_24;330615;7000;171.5331585407257
TripleStore.GRAPHDB;bearc;positive_change_set_25;313803;7000;169.60837817192078
TripleStore.GRAPHDB;bearc;negative_change_set_25;296078;7000;167.5322630405426
TripleStore.GRAPHDB;bearc;positive_change_set_26;349291;7000;201.9982841014862
TripleStore.GRAPHDB;bearc;negative_change_set_26;363968;7000;193.03264451026917
TripleStore.GRAPHDB;bearc;positive_change_set_27;80372;7000;48.06843018531799
TripleStore.GRAPHDB;bearc;negative_change_set_27;80351;7000;63.315834760665894
TripleStore.GRAPHDB;bearc;positive_change_set_28;24653;7000;14.726575136184692
TripleStore.GRAPHDB;bearc;negative_change_set_28;18545;7000;19.479381322860718
TripleStore.GRAPHDB;bearc;positive_change_set_29;290911;7000;161.20059871673584
TripleStore.GRAPHDB;bearc;negative_change_set_29;290442;7000;158.0963237285614
TripleStore.GRAPHDB;bearc;positive_change_set_30;292379;7000;165.28571605682373
TripleStore.GRAPHDB;bearc;negative_change_set_30;291218;7000;155.62351393699646
TripleStore.GRAPHDB;bearc;positive_change_set_31;33958;7000;21.965982913970947
TripleStore.GRAPHDB;bearc;negative_change_set_31;33877;7000;32.03155493736267
