triplestore;dataset;batch;cnt_batch_trpls;chunk_size;execution_time
GRAPHDB;bearc;snapshot_0;485178;2000;318.9991731643677
GRAPHDB;bearc;positive_change_set_1;273716;2000;160.76574993133545
GRAPHDB;bearc;negative_change_set_1;273294;2000;168.47234869003296
GRAPHDB;bearc;positive_change_set_2;279461;2000;166.50315117835999
GRAPHDB;bearc;negative_change_set_2;277422;2000;152.0118067264557
GRAPHDB;bearc;positive_change_set_3;299053;2000;179.5241038799286
GRAPHDB;bearc;negative_change_set_3;295548;2000;164.76376032829285
GRAPHDB;bearc;positive_change_set_4;277024;2000;165.2447202205658
GRAPHDB;bearc;negative_change_set_4;274320;2000;153.34383130073547
GRAPHDB;bearc;positive_change_set_5;277693;2000;165.15380239486694
GRAPHDB;bearc;negative_change_set_5;276654;2000;152.24900341033936
GRAPHDB;bearc;positive_change_set_6;282886;2000;166.37458658218384
GRAPHDB;bearc;negative_change_set_6;277790;2000;153.21415781974792
GRAPHDB;bearc;positive_change_set_7;337902;2000;207.66069078445435
GRAPHDB;bearc;negative_change_set_7;306592;2000;175.10419368743896
GRAPHDB;bearc;positive_change_set_8;293905;2000;179.09385752677917
GRAPHDB;bearc;negative_change_set_8;293479;2000;166.6188850402832
GRAPHDB;bearc;positive_change_set_9;335350;2000;202.90105366706848
GRAPHDB;bearc;negative_change_set_9;333095;2000;182.14206647872925
GRAPHDB;bearc;positive_change_set_10;335738;2000;208.03728723526
GRAPHDB;bearc;negative_change_set_10;334905;2000;183.90935730934143
GRAPHDB;bearc;positive_change_set_11;338753;2000;206.25333786010742
GRAPHDB;bearc;negative_change_set_11;335954;2000;189.0582172870636
GRAPHDB;bearc;positive_change_set_12;126098;2000;77.72888422012329
GRAPHDB;bearc;negative_change_set_12;125657;2000;86.11754322052002
GRAPHDB;bearc;positive_change_set_13;339237;2000;204.15166640281677
GRAPHDB;bearc;negative_change_set_13;338634;2000;189.47359943389893
GRAPHDB;bearc;positive_change_set_14;338935;2000;209.06735396385193
GRAPHDB;bearc;negative_change_set_14;338603;2000;188.1912863254547
GRAPHDB;bearc;positive_change_set_15;340397;2000;213.13863515853882
GRAPHDB;bearc;negative_change_set_15;336309;2000;185.36179399490356
GRAPHDB;bearc;positive_change_set_16;334232;2000;206.59607696533203
GRAPHDB;bearc;negative_change_set_16;334829;2000;186.50921535491943
GRAPHDB;bearc;positive_change_set_17;335428;2000;204.9526970386505
GRAPHDB;bearc;negative_change_set_17;334012;2000;182.86344146728516
GRAPHDB;bearc;positive_change_set_18;335573;2000;202.93192982673645
GRAPHDB;bearc;negative_change_set_18;335238;2000;187.02464938163757
GRAPHDB;bearc;positive_change_set_19;331202;2000;207.6145043373108
GRAPHDB;bearc;negative_change_set_19;330369;2000;187.55669856071472
GRAPHDB;bearc;positive_change_set_20;339424;2000;209.9618890285492
GRAPHDB;bearc;negative_change_set_20;337199;2000;194.70437383651733
GRAPHDB;bearc;positive_change_set_21;336305;2000;209.3035111427307
GRAPHDB;bearc;negative_change_set_21;335885;2000;187.5488052368164
GRAPHDB;bearc;positive_change_set_22;337146;2000;211.42797756195068
GRAPHDB;bearc;negative_change_set_22;336103;2000;190.36781525611877
GRAPHDB;bearc;positive_change_set_23;338516;2000;213.62984251976013
GRAPHDB;bearc;negative_change_set_23;336525;2000;188.29883790016174
GRAPHDB;bearc;positive_change_set_24;332618;2000;205.95683336257935
GRAPHDB;bearc;negative_change_set_24;330615;2000;190.55829906463623
GRAPHDB;bearc;positive_change_set_25;313803;2000;196.0973560810089
GRAPHDB;bearc;negative_change_set_25;296078;2000;183.2239260673523
GRAPHDB;bearc;positive_change_set_26;349291;2000;220.30998706817627
GRAPHDB;bearc;negative_change_set_26;363968;2000;208.40938210487366
GRAPHDB;bearc;positive_change_set_27;80372;2000;54.2309844493866
GRAPHDB;bearc;negative_change_set_27;80351;2000;66.67249608039856
GRAPHDB;bearc;positive_change_set_28;24653;2000;16.884002208709717
GRAPHDB;bearc;negative_change_set_28;18545;2000;20.40176296234131
GRAPHDB;bearc;positive_change_set_29;290911;2000;183.69137358665466
GRAPHDB;bearc;negative_change_set_29;290442;2000;171.9181056022644
GRAPHDB;bearc;positive_change_set_30;292379;2000;190.63974976539612
GRAPHDB;bearc;negative_change_set_30;291218;2000;169.58408617973328
GRAPHDB;bearc;positive_change_set_31;33958;2000;25.154675483703613
GRAPHDB;bearc;negative_change_set_31;33877;2000;34.42999196052551
GRAPHDB;bearc;positive_change_set_32;43904;2000;32.3474657535553
GRAPHDB;bearc;negative_change_set_32;43794;2000;46.205453634262085
