triplestore;dataset;batch;cnt_batch_trpls;chunk_size;execution_time
GRAPHDB;bearc;snapshot_0;485178;1000;338.96640515327454
GRAPHDB;bearc;positive_change_set_1;273716;1000;179.01883816719055
GRAPHDB;bearc;negative_change_set_1;273294;1000;194.42343258857727
GRAPHDB;bearc;positive_change_set_2;279461;1000;202.4390218257904
GRAPHDB;bearc;negative_change_set_2;277422;1000;201.30896854400635
GRAPHDB;bearc;positive_change_set_3;299053;1000;212.05034494400024
GRAPHDB;bearc;negative_change_set_3;295548;1000;188.4570083618164
GRAPHDB;bearc;positive_change_set_4;277024;1000;191.1598379611969
GRAPHDB;bearc;negative_change_set_4;274320;1000;174.73493814468384
GRAPHDB;bearc;positive_change_set_5;277693;1000;185.30232620239258
GRAPHDB;bearc;negative_change_set_5;276654;1000;172.7737011909485
GRAPHDB;bearc;positive_change_set_6;282886;1000;199.53551530838013
GRAPHDB;bearc;negative_change_set_6;277790;1000;174.50820469856262
GRAPHDB;bearc;positive_change_set_7;337902;1000;250.74346733093262
GRAPHDB;bearc;negative_change_set_7;306592;1000;195.02370500564575
GRAPHDB;bearc;positive_change_set_8;293905;1000;206.19192123413086
GRAPHDB;bearc;negative_change_set_8;293479;1000;184.89496755599976
GRAPHDB;bearc;positive_change_set_9;335350;1000;236.32176399230957
GRAPHDB;bearc;negative_change_set_9;333095;1000;212.71189045906067
GRAPHDB;bearc;positive_change_set_10;335738;1000;242.49849390983582
GRAPHDB;bearc;negative_change_set_10;334905;1000;210.83949899673462
GRAPHDB;bearc;positive_change_set_11;338753;1000;239.57431316375732
GRAPHDB;bearc;negative_change_set_11;335954;1000;221.63474702835083
GRAPHDB;bearc;positive_change_set_12;126098;1000;99.88630437850952
GRAPHDB;bearc;negative_change_set_12;125657;1000;130.47478461265564
GRAPHDB;bearc;positive_change_set_13;339237;1000;253.82167553901672
GRAPHDB;bearc;negative_change_set_13;338634;1000;226.74347352981567
GRAPHDB;bearc;positive_change_set_14;338935;1000;270.37469124794006
GRAPHDB;bearc;negative_change_set_14;338603;1000;271.5001630783081
GRAPHDB;bearc;positive_change_set_15;340397;1000;263.243111371994
GRAPHDB;bearc;negative_change_set_15;336309;1000;229.4772229194641
GRAPHDB;bearc;positive_change_set_16;334232;1000;245.22483491897583
GRAPHDB;bearc;negative_change_set_16;334829;1000;224.40158605575562
GRAPHDB;bearc;positive_change_set_17;335428;1000;243.168869972229
GRAPHDB;bearc;negative_change_set_17;334012;1000;225.2031593322754
GRAPHDB;bearc;positive_change_set_18;335573;1000;247.02598357200623
GRAPHDB;bearc;negative_change_set_18;335238;1000;228.37510228157043
GRAPHDB;bearc;positive_change_set_19;331202;1000;251.39666152000427
GRAPHDB;bearc;negative_change_set_19;330369;1000;219.3054003715515
GRAPHDB;bearc;positive_change_set_20;339424;1000;254.2170078754425
GRAPHDB;bearc;negative_change_set_20;337199;1000;227.2194938659668
GRAPHDB;bearc;positive_change_set_21;336305;1000;248.7660059928894
GRAPHDB;bearc;negative_change_set_21;335885;1000;218.66187143325806
GRAPHDB;bearc;positive_change_set_22;337146;1000;258.417916059494
GRAPHDB;bearc;negative_change_set_22;336103;1000;221.15725803375244
GRAPHDB;bearc;positive_change_set_23;338516;1000;254.46309638023376
GRAPHDB;bearc;negative_change_set_23;336525;1000;223.614004611969
GRAPHDB;bearc;positive_change_set_24;332618;1000;245.17702341079712
GRAPHDB;bearc;negative_change_set_24;330615;1000;220.72059535980225
GRAPHDB;bearc;positive_change_set_25;313803;1000;235.4341938495636
GRAPHDB;bearc;negative_change_set_25;296078;1000;214.2183220386505
GRAPHDB;bearc;positive_change_set_26;349291;1000;262.38063073158264
GRAPHDB;bearc;negative_change_set_26;363968;1000;236.44135332107544
GRAPHDB;bearc;positive_change_set_27;80372;1000;60.4981791973114
GRAPHDB;bearc;negative_change_set_27;80351;1000;74.03410863876343
GRAPHDB;bearc;positive_change_set_28;24653;1000;19.541821241378784
GRAPHDB;bearc;negative_change_set_28;18545;1000;21.76496648788452
